"Name","Count"
"","19233"
"The","5850"
"and","5032"
"to","3200"
"of","3058"
"you","1893"
"I","1858"
"he","1821"
"a","1813"
"in","1629"
"for","1297"
"his","1277"
"as","1186"
"with","1134"
"it","1122"
"that","1113"
"him","1059"
"was","947"
"they","929"
"me","904"
"on","851"
"my","840"
"had","839"
"all","822"
"but","810"
"is","782"
"have","769"
"them","759"
"will","709"
"not","690"
"so","665"
"when","637"
"her","636"
"your","634"
"she","599"
"who","592"
"this","571"
"then","556"
"are","556"
"from","550"
"Ulysses","543"
"at","521"
"one","519"
"we","514"
"by","488"
"their","479"
"said","478"
"be","478"
"were","472"
"house","396"
"about","389"
"or","388"
"there","384"
"do","381"
"no","348"
"out","347"
"which","334"
"would","323"
"up","319"
"men","314"
"man","308"
"us","307"
"has","303"
"if","302"
"went","301"
"what","279"
"now","276"
"come","275"
"go","272"
"own","272"
"son","267"
"did","263"
"some","261"
"Tell","259"
"into","258"
"upon","258"
"been","255"
"Telemachus","248"
"may","242"
"can","242"
"home","235"
"over","230"
"suitors","230"
"here","218"
"any","215"
"ship","214"
"See","211"
"came","209"
"should","209"
"Father","208"
"down","208"
"shall","207"
"let","206"
"made","203"
"good","202"
"sea","202"
"an","201"
"much","200"
"am","198"
"our","198"
"could","196"
"back","194"
"take","194"
"off","188"
"took","186"
"other","182"
"while","180"
"where","179"
"great","179"
"'","176"
"gods","174"
"got","173"
"people","173"
"way","172"
"make","167"
"heaven","165"
"like","162"
"still","161"
"Jove","161"
"again","160"
"after","157"
"set","155"
"till","155"
"how","154"
"nor","152"
"answered","152"
"very","151"
"more","148"
"old","148"
"before","148"
"long","146"
"get","145"
"Minerva","144"
"among","142"
"such","142"
"hands","142"
"these","142"
"away","139"
"also","138"
"even","137"
"day","134"
"both","131"
"round","130"
"know","129"
"Thus","128"
"give","128"
"Many","127"
"saw","126"
"though","125"
"two","124"
"put","124"
"once","123"
"left","122"
"never","121"
"time","119"
"therefore","118"
"another","117"
"against","115"
"wine","113"
"every","113"
"water","112"
"well","112"
"must","111"
"first","110"
"than","109"
"brought","109"
"say","108"
"told","107"
"might","107"
"country","106"
"gave","101"
"without","101"
"Penelope","100"
"through","100"
"hand","100"
"yet","99"
"soon","99"
"going","98"
"heard","98"
"himself","96"
"drink","94"
"only","93"
"end","93"
"god","93"
"too","92"
"whether","92"
"Ithaca","91"
"stranger","90"
"mother","90"
"head","89"
"spoke","88"
"those","87"
"however","87"
"land","87"
"wife","87"
"side","87"
"others","86"
"nothing","86"
"return","85"
"began","84"
"myself","84"
"place","84"
"find","83"
"bed","83"
"best","82"
"town","82"
"saying","81"
"daughter","80"
"each","80"
"sent","79"
"young","78"
"killed","78"
"room","78"
"ever","77"
"far","76"
"done","76"
"under","75"
"gone","75"
"King","75"
"dead","75"
"yourself","75"
"wind","74"
"near","74"
"night","74"
"whole","74"
"mind","73"
"ground","73"
"city","72"
"sleep","72"
"most","71"
"cannot","71"
"Eumaeus","70"
"better","70"
"matter","70"
"whom","70"
"heart","70"
"want","70"
"hold","70"
"things","69"
"keep","69"
"ships","69"
"women","69"
"bring","69"
"fell","69"
"sheep","68"
"having","68"
"full","68"
"woman","67"
"death","67"
"Troy","67"
"just","66"
"Sun","66"
"think","66"
"servants","66"
"lay","64"
"eyes","64"
"laid","63"
"enough","63"
"being","63"
"right","63"
"reached","63"
"island","63"
"speak","63"
"bow","63"
"sons","61"
"Achaeans","61"
"leave","61"
"given","60"
"sat","60"
"live","60"
"Alcinous","60"
"Menelaus","60"
"eat","59"
"poor","59"
"send","59"
"husband","59"
"Look","59"
"seat","58"
"Antinous","57"
"swineherd","57"
"dear","56"
"hear","56"
"morning","56"
"fire","56"
"towards","55"
"found","55"
"whereon","55"
"friends","55"
"either","55"
"stay","55"
"else","55"
"feet","54"
"fair","53"
"looking","53"
"Neptune","53"
"themselves","53"
"board","53"
"fast","52"
"stood","52"
"servant","52"
"close","52"
"gold","52"
"inside","52"
"always","51"
"work","51"
"goddess","51"
"kind","50"
"ask","50"
"days","49"
"name","49"
"together","49"
"indeed","48"
"everything","48"
"court","48"
"kept","48"
"threw","47"
"maids","47"
"child","47"
"something","47"
"face","46"
"replied","46"
"neither","46"
"rest","46"
"clothes","45"
"Presently","45"
"dinner","45"
"kill","45"
"Last","44"
"Laertes","44"
"world","44"
"Same","44"
"behind","44"
"getting","43"
"drew","43"
"sit","43"
"blood","43"
"ill","43"
"fine","43"
"cloak","42"
"words","42"
"presents","42"
"help","42"
"life","42"
"crew","42"
"comes","42"
"shore","42"
"cave","41"
"spear","41"
"coming","41"
"longer","41"
"show","41"
"lying","41"
"turn","41"
"door","41"
"making","40"
"cloister","40"
"cut","40"
"hard","40"
"quite","40"
"bread","40"
"its","39"
"alive","39"
"called","39"
"does","39"
"along","39"
"Pylos","39"
"meat","39"
"trouble","39"
"taken","39"
"angry","39"
"master","38"
"further","38"
"because","38"
"knew","38"
"wish","38"
"friend","38"
"twelve","38"
"thought","38"
"alone","38"
"used","38"
"whose","38"
"fellow","38"
"seen","38"
"lost","38"
"high","38"
"within","37"
"sail","37"
"three","37"
"bad","37"
"sir","37"
"strong","37"
"Why","36"
"Nestor","36"
"Meanwhile","36"
"light","36"
"moment","36"
"raised","36"
"sword","36"
"anything","36"
"Phaeacians","35"
"held","35"
"care","35"
"talk","35"
"hope","35"
"present","35"
"already","35"
"thing","35"
"ready","34"
"fear","34"
"voyage","34"
"pigs","34"
"supper","34"
"doing","34"
"silver","34"
"lie","33"
"true","33"
"father's","33"
"goats","33"
"top","33"
"brave","33"
"armour","33"
"excellent","33"
"immortal","33"
"Calypso","33"
"shirt","33"
"moreover","33"
"stand","33"
"Agamemnon","32"
"filled","32"
"tears","32"
"nevertheless","32"
"reach","32"
"wash","32"
"able","32"
"Euryclea","32"
"story","31"
"little","31"
"Dawn","31"
"noble","31"
"eating","31"
"herself","31"
"straight","31"
"caught","31"
